(-3.764793523247848, 3.175975705573772)
(-3.722126118009421, 3.3531945660223865)
(-3.6826995577918975, 3.501428245321887)
(-3.637239189435877, 3.650277203817695)
(-3.569703749247575, 3.8206950759234743)
(-3.483309301067262, 4.002762033595034)
(-3.389847973175521, 4.172768621349731)
(-3.2733708994226123, 4.354611728353423)
(-3.1657625878375466, 4.516556765607197)
(-2.613954263944827, 3.719992898244817)
(-2.6030163008037728, 3.716340479028395)
(-2.5768951172620533, 3.710954679860509)
(-2.535835469357159, 3.7062424653011052)
(-2.4723338116511577, 3.698806649575804)
(-2.401347151970765, 3.688077783225526)
(-2.324672750388214, 3.6787292638981097)
(-2.2257110350410723, 3.6642011457290162)
(-2.1157119725740663, 3.6436678773026876)
(8.870122335539456, 2.4801014976185134)
(8.87098758860647, 2.4717427851787863)
(8.877658923910799, 2.453110243576078)
(8.89022407746615, 2.4191699284991146)
(8.905429250244106, 2.3807835201723155)
(8.929376596819745, 2.323458707413783)
(8.961493101339343, 2.2554358865781126)
(9.000298424762528, 2.178646802985181)
(9.04639585818429, 2.097718294786935)
(9.112537850202182, 1.999349537615669)
(9.186575307689239, 1.9076243874059675)
(9.286049998520731, 1.8117761094564657)
(9.405716143999204, 1.7187872056737152)
(9.542263301851571, 1.6318131703584478)
(6.82358553053629, 1.5548779074190422)
(6.814583007336305, 1.5567960790138227)
(6.7932059735335155, 1.553996891747958)
(6.751403839782585, 1.5422105734932263)
(6.6990260423222985, 1.5260698159714576)
(6.628943052157624, 1.4968578669668604)
(6.548602951366073, 1.4588739335359027)
(6.4617025506907915, 1.4079139321546048)
(6.3670586937339335, 1.3440104428797877)
(6.280993859508687, 1.2737704972826085)
(6.193786878660336, 1.1905982911212203)
(6.095979041137379, 1.0739349111922587)
(6.010525213132954, 0.9432825128626192)
(5.928439549291277, 0.783939865629792)
(1.1934057345005482, -2.8106250116170375)
(1.18776636414687, -2.812649919653399)
(1.1697285097979346, -2.8159253588486846)
(1.134508237319921, -2.8232832535827956)
(1.0874410593068977, -2.833790027746468)
(1.025026349570958, -2.8499206726171735)
(0.9546958646102566, -2.873617851731491)
(0.8628065661584593, -2.919902075483403)
(0.7854848517233095, -2.9700837020469146)
(0.6857083546077531, -3.0497328809944486)
(0.5910610118708187, -3.145447954255568)
(0.5084602548981959, -3.2480992286531047)
(0.425501554915275, -3.3849545025439842)
(0.35933229208979134, -3.532618342685964)
(-1.447553183131329, -2.6950222649234132)
(-1.4550572260668189, -2.700552007533953)
(-1.4749447100939979, -2.7061612457931834)
(-1.5088512606783169, -2.7107949193397003)
(-1.5629646803639792, -2.7212393055548447)
(-1.6193986998169516, -2.7348026691552154)
(8.814127446601683, -1.479216039882083)
(8.806306132241176, -1.4950120075157942)
(8.800283718622165, -1.5262338366155797)
(8.794064448323192, -1.5753754692942916)
(8.790732687764631, -1.6383070581307606)
(8.787829368260002, -1.7228109248842711)
(8.792911471075405, -1.8178469102432093)
(8.810621927007405, -1.9173364706594163)
(8.847399872643784, -2.03641024930275)
(8.900064437131938, -2.151041434423111)
(8.973544585210357, -2.2723814559250117)
(9.06408512347928, -2.3998653746413865)
(6.465896158307718, -2.523070027395721)
(6.456277619856208, -2.527640442204615)
(6.437303693861113, -2.5355626717192283)
(6.403398060601712, -2.5499189516057412)
(6.36157450820988, -2.5702478719144315)
(6.306930329399275, -2.5951567929477517)
(6.233934534797786, -2.625397195220254)
(6.145092228527067, -2.6630898620423165)
(6.055216696131151, -2.706068740398361)
(5.9432753979966035, -2.7662351514225842)
(5.830757585448638, -2.8320757290046794)
(5.70029987308066, -2.9084088472804615)
(5.576480522589849, -2.991758148810449)
(5.449620069362728, -3.095727534307337)
(5.344795260719883, -3.1958977045979693)
(5.2448747794005985, -3.309908431084858)
(5.153263038978706, -3.4416852491331023)
(-4.257702924764876, -2.4838004952833113)
(-4.330197715087564, -2.50970629221819)
(-4.422921923711356, -2.550815893902473)
(-4.5098857498576095, -2.599410095421774)
(-4.606678964063008, -2.671498073576184)
(-4.708082059862858, -2.758373998229984)
(-4.800289214657205, -2.852051726810892)
(-4.893968851907912, -2.962904552699114)
(-5.001177132835125, -3.113077419133986)
(-6.6870116096211705, -2.0201496712275735)
(-6.696124932360347, -2.0206794753534782)
(-6.7177282970627195, -2.020059454916767)
(-6.760295845649606, -2.017573829997383)
(-6.813301275910742, -2.0163014011674214)
(-6.882144316477274, -2.0187682398359064)
(-6.957481786829733, -2.0267256703582266)
(-7.05421466271224, -2.0492322341972606)
(-7.159225292302079, -2.0874059890217542)
(-7.274218474060418, -2.1482428509572316)
(-7.394716054416309, -2.2317629857942682)
(-7.506486451355793, -2.332110645851939)
(-7.5982196130976, -2.433909813816905)
(1.0394426477707286, -2.8822182006565416)
(0.9877836192291279, -2.9289306359818092)
(0.9280876294800801, -2.9979439580503207)
(0.8697635480682545, -3.097659256886942)
(0.8277223009315167, -3.2174878495846455)
(0.8093870000844866, -3.3401274464033235)
(0.8131004213200985, -3.4676218309572184)
(0.8418489398837523, -3.6059513295113095)
(1.1934057345004543, -2.8106250116170357)
(1.188646692368466, -2.8114616672135764)
(1.1700549637283768, -2.8161375459775284)
(1.13889832118877, -2.8268030419795633)
(1.09610998884802, -2.8510813930587466)
(1.0455812863500962, -2.8886099877606415)
(0.9923765097345907, -2.9391322232408976)
(0.9289721247266868, -3.0188165343542046)
(0.875271751466133, -3.116098038680691)
(0.8376759345494132, -3.2298119775287915)
(0.8223773798022036, -3.3539988447941536)
(0.8356701810265387, -3.5121154618863146)
(-0.8937886389078161, 1.5501728081215584)
(-0.8433641540311557, 1.4680480909816764)
(-0.7730655996460962, 1.3796352907762826)
(-0.673955487725884, 1.2787076826808854)
(-0.5717713698642359, 1.1891952263043515)
(-0.46666764453135307, 1.1130238593366462)
(-0.3455932667471932, 1.0407983093772601)
(-0.20185480131197395, 0.975582549221556)
(-0.04553655215476757, 0.9234729277054902)
(0.09416615344568574, 0.8895533979075254)
(0.25756039045050094, 0.8692364644920975)
(0.40711789749092264, 0.860210445850825)
(0.5531819391817179, 0.8606378659682837)
(0.7155949117786391, 0.8779847856117932)
(0.8935111472038926, 0.9187106599972346)
(1.0931718276420022, 0.9890222343005206)
(1.2517106277179366, 1.0633843360307162)
(1.3913007705021785, 1.139297447295473)
(1.5511555080388715, 1.2387309611251445)
(1.6887386012879508, 1.3456877538560008)
(1.8134043761290546, 1.4704540323086321)
(1.9327722295671963, 1.6269159369838189)
(2.0396317236788395, 1.8080656628258567)
(2.114251718075409, 1.9766520069079767)
(2.1724803679376556, 2.1587913097933122)
